乐团	樂團	yue4tuan2	orchestra; band
熟	熟	shu2, shou2	ripe; cooked; familiar; skilled
片	片	pian4, pian1	(mw for pieces of things); a slice; a flake (Kangxi radical 91); film; photo
田	田	tian2	field (Kangxi radical 102); surname
照顾	照顧	zhao4gu5	take care of; look after; give consideration; take care
敢	敢	gan3	to dare
条件	條件	tiao2jian4	condition; circumstances; prerequisite
黑	黑	hei1	black; dark (Kangxi radical 203); Heilongjiang province (abbreviation)
摘下来	摘下來	zhai1xia4lai2	to take off; remove (glasses, jewelry, etc.); to pluck/pick (e.g. fruit from a tree)
做不动	做不動	zuo4bu2dong4	to be unable to physically function
基因改造	基因改造	ji1yin1 gai3zao4	genetic modification (GM)
忙得过来	忙得過來	mang2de5guo4lai5	able to manage despite being busy
开玩笑	開玩笑	kai1 wan2xiao4	joke; play a joke; make fun of
看天吃饭	看天吃飯	kan4tian1chi1fan4	livelihood depends on the whims of nature
小农	小農	xiao3nong2	small-scale peasant economy
市集	市集	shi4ji2	a fair; small town
食材	食材	shi2cai2	ingredients
产地	產地	chan3di4	place (of production); manufacturing location
尽量	儘量	jin3liang4	as much as possible; to the best of one's ability
友善	友善	you3shan4	friendly
对待	對待	dui4dai4	to treat; deal with
安德思	安德思	an1de2si1	Male's name: Anders
罗珊蒂	羅珊蒂	Luo2 Shan1di4	Female's name: Luo Shandi
何雅婷	何雅婷	He2 Ya3ting2	Female's name: He Yating
开学	開學	kai1xue2	start school; begin a term
班	班	ban1	team; class; squad; shift
新生	新生	xin1sheng1	newborn; new student
严	嚴	yan2	strict; severe; serious; (air- or water-) tight
口试	口試	kou3shi4	oral exam; oral test
笔试	筆試	bi3shi4	written exam
以外	以外	yi3wai4	beyond; apart from; other than; except for
口头	口頭	kou3tou2	oral; verbal
报告	報告	bao4gao4	to report; make known; inform; speech; lecture
压力	壓力	ya1li4	pressure; stress
说明	說明	shuo1ming2	explain; explanation; illustrate; to show
清楚	清楚	qing1chu5	clear; distinct; be clear about
位子	位子	wei4zi5	seats; position
旁听	旁聽	pang2ting1	be (at a conference, etc.) as an observer; attend as a visitor; sit in (on a class); attend class as an auditor or non-credit earning student
分	分	fen1, fen4	divide; part; minute; cent; component; share; ingredient; point
羡慕	羨慕	xian4mu4	to envy; admire
休学	休學	xiu1xue2	be temporarily absent from school; defer study
用功	用功	yong4gong1	diligent; industrious; hardworking
行	行	xing2, hang2	to walk; be current; do; will do; okay; a row; series; place; a firm; (Kangxi radical 144)
转	轉	zhuan3, zhuan4	to turn; to change; pass on; transfer; revolve; rotate
原来	原來	yuan2lai2	original; former; as it turns out
会计	會計	kuai4ji5	accountant; accounting
热门	熱門	re4men2	in demand; popular; in vogue
熬夜	熬夜	ao2ye4	stay up very late or all night
当	當	dang1, dang4	should; act as; manage; match, appropriate; assume; pawn
恐怕	恐怕	kong3pa4	be afraid; to fear; I'm afraid that...
口才	口才	kou3cai2	eloquence
事	事	shi4	matter; affair; thing; event; trouble; accident; job; work; responsibility; involvement
迟到	遲到	chi2dao4	be late; arrive late
差一点	差一點	cha4yi4dian3	nearly; almost
这样下去	這樣下去	zhe4yang4xia4qu4	go on like this
没办法	沒辦法	mei2ban4fa3	nothing can be done; there is no way
独生女	獨生女	du2sheng1nv3	an only daughter
私立	私立	si1li4	private (company, school, etc.)
理想	理想	li3xiang3	a dream; an ideal; perfection; ideal; perfect; desirable
合	合	he2, ge3	to close; to join; to suit; be equal to; whole; together; unit of dry measure for grain equal to one deciliter
痛苦	痛苦	tong4ku3	pain; suffering; agony
科系	科系	ke1xi4	department (in a college or university)
放弃	放棄	fang4qi4	abandon; renounce; give up
不管	不管	bu4guan3	no matter (what, how, etc.); regardless of
反对	反對	fan3dui4	oppose; fight against
个性	個性	ge4xing4	individuality; personality
活泼	活潑	huo2po5	lively; vivacious
外语	外語	wai4yu3	foreign language
担心	擔心	dan1xin1	worry; feel anxious
填	填	tian2	write; fill in
表	表	biao3	surface; a table (listing information); to show
农业	農業	nong2ye4	agriculture; farming
农人	農人	nong2ren2	farmer; peasant
难得	難得	nan2de2	hard to come by; difficult to get; rare
祭祖	祭祖	ji4zu3	offer sacrifices to one's ancestors
拜	拜	bai4	pay respect; pay a visit to; worship
神	神	shen2	God; unusual; mysterious; spirit
拜拜	拜拜	bai1bai1	bye-bye; say goodbye; (Taiwan) to worship （4th tone)
蚊虫	蚊蟲	wen2chong2	mosquito
戴	戴	dai4	put on; to wear (accessories); to respect
香包	香包	xiang1bao1	sachet of fragrant spices worn during Dragon Boat Festival 端午节
挂	掛	gua4	hang; put up; suspend
瘟疫	瘟疫	wen1yi4	epidemic; pestilence; plague
多少	多少	duo1shao5	how much; how many; somewhat
作用	作用	zuo4yong4	act on; to affect; action; use; effect; purpose; function
迷信	迷信	mi2xin4	superstition; blind faith
收成	收成	shou1cheng5	harvest
民族	民族	min2zu2	nationality; ethnic group
月亮	月亮	yue4liang5	the moon
圆	圓	yuan2	round; circular; formal unit of Chinese currency
社会	社會	she4hui4	society; community
团聚	團聚	tuan2ju4	reunite; have a reunion
月饼	月餅	yue4bing3	moon cake
柚子	柚子	you4zi5	pomelo; shaddock; Chinese grapefruit
故事	故事	gu4shi5	story; tale
温馨	溫馨	wen1xin1	soft and sweet; warm and fragrant
中秋节	中秋節	Zhong1qiu1 jie2	Mid-Autumn festival
雄黄酒	雄黃酒	xiong2huang2jiu3	realgar wine, traditionally drunk at Dragon Boat Festival
古时候	古時候	gu3shi2hou5	in ancient times
赶走	趕走	gan3zou3	drive away; expel
爱	愛	ai4	love; affection; be fond of
人情味	人情味	ren2qing2wei4	human feelings; human interest
放	放	fang4	put; to place; to release; to free
天灯	天燈	tian1deng1	sky lantern
愿望	願望	yuan4wang4	desire; wish; aspiration
讯号	訊號	xun4hao4	(phone) signal
元宵	元宵	yuan2xiao1	Lantern Festival; sweet, sticky rice dumplings made for Lantern Festival
墙	牆	qiang2	wall
耐心	耐心	nai4xin1	be patient; patience
感动	感動	gan3dong4	move; be moved; touch emotionally
担仔面	擔仔麵	dan4zai3 mian4	danzai noodles (Tainan)
招牌	招牌	zhao1pai5	shop sign; specialty
当地	當地	dang1di4	local
赚	賺	zhuan4, zuan4	earn; make a profit; cheat; swindle
而	而	er2	and; but; yet; while (Kangxi radical 126)
交	交	jiao1	submit; deliver; turn over; intersect; to pay (money); friendship
刚刚	剛剛	gang1gang1	just recently; just a moment ago; just now
改天	改天	gai3tian1	another day; some other time
无聊	無聊	wu2liao2	nonsense; bored; boring; silly
东区	東區	dong1qu1	east district of city / east zone / Tung east district of a Taiwanese city
顿	頓	dun4	pause; arrange; stamp feet; suddenly; (mw for meals, events)
办法	辦法	ban4fa3	way (of doing sth.); means; measure; method
自动	自動	zi4dong4	automatic
关机	關機	guan1ji1	turn off (a machine or device); finish shooting a film
修理	修理	xiu1li3	to repair; perform maintenance; to overhaul
缴费	繳費	jiao3fei4	make payment on an account
预付卡	預付卡	yu4fu4ka3	Prepaid card
换成	換成	huan4cheng2	change into; exchange; swap
吃到饱	吃到飽	chi1dao4bao3	all you can eat
吓一跳	嚇一跳	xia4yi2tiao4	startle or scare sb.
客服中心	客服中心	ke4fu2 zhong1xin1	Customer service center
陈敏萱	陳敏萱	chen2min3xuan1	female name
高桥健太	高橋健太	gao1qiao2jian4tai4	Japanese male name: Takahashi Kenta
空气	空氣	kong1qi4	air
影响	影響	ying3xiang3	influence; affect; effect
稳定	穩定	wen3ding4	stable; steady
幸亏	幸虧	xing4kui1	fortunately; luckily
躲	躲	duo3	to hide; to dodge; avoid
度	度	du4, duo2	capacity; degree; degree (mw for temperature, angles); measure; scale; to spend (time); to estimate; surmise
温度	溫度	wen1du4	temperature
零下	零下	ling2xia4	below zero centigrade
感觉	感覺	gan3jue2	to feel; become aware of; feeling
实际	實際	shi2ji4	actual; reality; practice
难怪	難怪	nan2guai4	no wonder
火锅	火鍋	huo3guo1	hotpot
海鲜	海鮮	hai3xian1	seafood
新鲜	新鮮	xin1xian1	fresh (experience, food, etc.); new; novel
樱花	櫻花	ying1hua1	Japanese oriental cherry tree; oriental cherry blossom
变化	變化	bian4hua4	change; variation; to change; to vary
气温	氣溫	qi4wen1	air temperature
差	差	cha4, cha1, chai1	poor; to lack; difference; to dispatch
几乎	幾乎	ji1hu1	almost; nearly; practically
干	乾	gan1, qian2	dry; clean; "sky" or "male" in Eight Trigrams; surname Qian
发霉	發霉	fa1mei2	to become mildewed; to grow mold
除湿机	除濕機	chu2shi1ji1	dehumidifier
雨季	雨季	yu3ji4	rainy season; wet season
凉快	涼快	liang2kuai5	pleasantly cool (temperature)
潮湿	潮濕	chao2shi1	damp; moist; humid
闷	悶	men1, men4	stuffy; muffled; cover tightly; to seal; shut indoors; keep silent; bored; melancholy; depressed; sealed; tightly closed
冷气	冷氣	leng3qi4	air conditioning
荷兰	荷蘭	He2lan2	Holland; the Netherlands
出大太阳	出大太陽	chu1 da4 tai4yang2	to be blazing hot
受到	受到	shou4dao4	receive (influence, restriction, etc.); be subjected to
受不了	受不了	shou4bu5liao3	cannot endure; unbearable; can't stand
饿死了	餓死了	e4si3le5	to starve to death
祖先	祖先	zu3xian1	ancestors; forefathers
移民	移民	yi2min2	migrate; immigrant
当中	當中	dang1zhong1	among; in the middle; in the center
根据	根據	gen1ju4	according to; based on; basis
农历	農曆	nong2li4	agricultural calendar; lunar calendar
办	辦	ban4	to do; to manage; to handle; to set up
手续	手續	shou3xu4	formalities; procedure
申请	申請	shen1qing3	apply for; application
成绩单	成績單	cheng2ji4 dan1	school report card; transcript
考上	考上	kao3shang4	to pass (an entrance exam)
推荐信	推薦信	tui1jian4 xin4	letter of recommendation
起	起	qi3	to rise; to raise; get up
外套	外套	wai4tao4	coat; overcoat
一般	一般	yi4ban1	general; ordinary; common; same
商品	商品	shang1pin3	goods; commodity; merchandise
折扣	折扣	zhe2kou4	discount; rebate
省	省	sheng3, xing3	to save; economize; omit; province; examine oneself; to visit; be aware
牌子	牌子	pai2zi5	billboard; sign; brand; trademark; plate
品质	品質	pin3zhi4	quality; character
选择	選擇	xuan3ze2	select; choose; option
样子	樣子	yang4zi5	manner; air; style; appearance; looks
店员	店員	dian4yuan2	store clerk; shop assistant; salesperson
短	短	duan3	short (in length, duration)
羊毛	羊毛	yang2mao2	wool; fleece
暖和	暖和	nuan3huo5	warm; nice and warm
打折	打折	da3zhe2	give a discount
原价	原價	yuan2jia4	original price
刷卡	刷卡	shua1ka3	swipe a card; use a credit card
现金	現金	xian4jin1	cash
麻烦	麻煩	ma2fan5	trouble (someone); troubling; bothersome
签名	簽名	qian1ming2	sign (one's name with a pen, etc.); autograph
破洞	破洞	po4dong4	a hole
发票	發票	fa1piao4	receipt or bill for purchase; (government certified) invoice
弄	弄	nong4, long4	do; manage; to handle; make; lane; alley
退	退	tui4	to retreat; decline; withdraw; return (goods)
换	換	huan4	change; to exchange; to barter; to trade
店长	店長	dian4zhang3	store manager
周年庆	週年慶	zhou1nian2qing4	anniversary
一般来说	一般來說	yi4ban1lai2shuo1	generally speaking
试穿	試穿	shi4chuan1	to try on
打完折	打完折	da3wan2zhe2	after discount
弄丢	弄丟	nong4diu1	to lose (something); mislay
购物	購物	gou4wu4	go shopping; buy goods
纠纷	糾紛	jiu1fen1	dispute; quarrel; issue
电信	電信	dian4xin4	telecommunications
门市	門市	men2shi4	retail outlet
居留证	居留證	ju1liu2 zheng4	resident certificate; residence permit
